cond,i,M,S,R,s_ma,rho,beta,e0_p,e0_coef,e0_ok,t_e0,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1_vc_path_arm,t_e1,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject
M6_S5_R3_sma0.03_rho0.0_beta0.05,0,6,5,3,0.03,0.0,0.05,2.5115315541726453e-77,0.06352364317829255,True,17.1059992313385,9.000017520660081e-08,0.06886883031184257,0.01288270299152594,False,True,0.0009035603943318525,0.0009331675534435593,0.0003872620870110833,5.698057977418872e-05,4.1993885392052754e-05,3.9691269397735596,0.06886883031185054,0.04415476819577166,0.09755179924443122,True,True,0.6928395061728394,0.5871481481481481,0.7938395061728395,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,1,6,5,3,0.03,0.0,0.05,5.368094356499596e-22,0.03385187700053981,True,16.620777130126953,0.05129424698174152,0.03401901480921754,0.017454511375719486,True,True,0.0009376898699596604,0.0021193199904406958,0.0008048560491925812,5.566394320192539e-05,3.884266242101396e-05,4.079347610473633,0.03401901480921048,0.010349715962742777,0.05721673660969918,True,True,0.28493827160493823,0.12489506172839511,0.4323518518518518,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,2,6,5,3,0.03,0.0,0.05,9.224451666283522e-66,0.06175868726277575,True,15.925490140914917,2.641965120000365e-05,0.06319353927743786,0.015037784027563596,False,True,0.0009206197332100095,0.0008617337165505726,0.0006119508322414702,0.0001785235469748526,4.2328035472882205e-06,3.9673454761505127,0.06319353927743102,0.031609487776865806,0.09186571136945773,True,True,0.6580246913580248,0.5367530864197532,0.769395061728395,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,3,6,5,3,0.03,0.0,0.05,8.423340186915964e-22,0.03268829653399873,True,15.796388387680054,0.05544953568566731,0.03818628427962818,0.019937109565706844,False,True,0.0009296470811752153,0.0037653145550701796,0.0010435699060640491,0.00011336728427898188,7.2432196135921e-05,2.036177396774292,0.03818628427964294,0.013130524963505863,0.06072899328133356,True,True,0.29777777777777775,0.12985185185185183,0.4510123456790122,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,4,6,5,3,0.03,0.0,0.05,1.5605762972372458e-26,0.03937552453366758,True,15.792649269104004,0.16006811000375387,0.039918371498560805,0.02841483705990164,True,True,0.0008845818387526839,0.005475628025702226,0.0022295907569631324,8.257252397793478e-05,0.00011137167989630812,3.301892042160034,0.03991837149854983,0.010333641019351648,0.06836129450724851,True,True,0.2372839506172839,0.07183333333333332,0.4057098765432099,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,5,6,5,3,0.03,0.0,0.05,5.664746067101163e-37,0.045813310134357674,True,16.379497289657593,0.042268249297209654,0.04593205460751038,0.022616942107087857,False,True,0.0008867627185772693,0.0029612575507066306,0.0013523421991539991,8.915927512740593e-05,0.00010259874758341032,2.1351585388183594,0.04593205460750819,0.021560306433167316,0.07138959432654368,True,True,0.35703703703703704,0.1975185185185185,0.5195185185185184,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,6,6,5,3,0.03,0.0,0.05,2.002857700577371e-46,0.05338402269087592,True,1.6796414852142334,0.000414348272232069,0.05258118008090447,0.014892260268419303,True,True,0.0009432707744607732,0.0006038416920653804,0.0005887916947047455,0.00016552508266923184,1.138486225414966e-05,3.0265021324157715,0.0525811800809125,0.026212029985981995,0.08115393631624065,True,True,0.6333333333333333,0.5033950617283951,0.7562962962962962,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,7,6,5,3,0.03,0.0,0.05,9.288600059774506e-26,0.03863902689987248,True,0.9610648155212402,0.06860016417941348,0.040112225082904344,0.022027048454518836,False,True,0.0008880240731113053,0.002359327941755893,0.001332907057010729,5.925158145247505e-05,5.288660747466258e-05,3.070723533630371,0.04011222508293798,0.014458922627941014,0.07043711465338036,True,True,0.3550617283950617,0.18737654320987654,0.5047962962962963,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,8,6,5,3,0.03,0.0,0.05,5.051895887721029e-31,0.038848012219445026,True,1.7638828754425049,0.016424704666930093,0.038336035156684045,0.01597774907764028,False,True,0.0009314706502926793,0.0023453994792141768,0.0006763177811255312,0.00011400515651987786,2.2874643571544186e-05,3.8022725582122803,0.03833603515668933,0.02058229825362788,0.055728809365025014,True,True,0.30790123456790125,0.14042592592592595,0.4602530864197531,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,9,6,5,3,0.03,0.0,0.05,1.204166202613695e-52,0.049739622800659036,True,1.432555913925171,0.0003271794113311065,0.04608830652057111,0.012828064873365908,True,True,0.0009062634344478078,0.001610526909826233,0.0003941139007699349,8.266274219423637e-05,3.2621901766203964e-05,3.7345969676971436,0.046088306520575384,0.0314614310916559,0.06051534876318995,True,True,0.4451851851851852,0.2950246913580246,0.5750802469135802,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,10,6,5,3,0.03,0.0,0.05,4.179888836798431e-48,0.05219270657760483,True,1.0226738452911377,0.002967423970313035,0.05106180513575402,0.017186205168662417,False,True,0.0009144001577294953,0.001510265256856741,0.0007728594055330234,5.37731344574798e-05,4.356460687468571e-05,3.949796676635742,0.05106180513574574,0.022646997298649503,0.08076908303781587,True,True,0.45555555555555555,0.29452469135802467,0.5958333333333332,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,11,6,5,3,0.03,0.0,0.05,3.0497564809118862e-90,0.06965190535277142,True,1.5181119441986084,3.6675665174964436e-05,0.06798683646650304,0.01647174512864152,True,True,0.0008191637064278462,0.0012220297229092944,0.00073057907692295,7.115699972931437e-05,2.3970976720030432e-05,3.628251075744629,0.06798683646651309,0.03396623409836288,0.10091231169473748,True,True,0.6365432098765431,0.5071543209876543,0.7540864197530864,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,12,6,5,3,0.03,0.0,0.05,3.902737602728262e-30,0.04642613960532989,True,2.009171724319458,0.15306786164450853,0.04714237972785301,0.03299487956061174,True,True,0.000865482266178928,0.0038742317753917275,0.0031555483304891853,2.979725081543493e-05,4.394923618451906e-05,3.911534547805786,0.047142379727836733,0.011252975748299464,0.08777952219876449,True,True,0.2950617283950617,0.12044444444444445,0.45062345679012344,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,13,6,5,3,0.03,0.0,0.05,1.7301533986979423e-83,0.06823884681411882,True,1.251117467880249,0.004072065310940403,0.06657225673964312,0.02317552286837917,False,True,0.0008845838464150873,0.003948977629004411,0.0014952384216107347,7.851693820414128e-05,4.758658552462312e-05,3.7150025367736816,0.06657225673961206,0.03912608076300861,0.09679355959282478,True,True,0.4224691358024691,0.27077160493827157,0.5545679012345679,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,14,6,5,3,0.03,0.0,0.05,4.179284367605524e-57,0.0580796160500541,True,0.7035133838653564,0.012549671955914625,0.052360763510829335,0.020975356144570603,False,True,0.0008686312507630422,0.0021292115744055836,0.001178710697572692,4.0870394202384514e-05,6.939770712565504e-05,4.644606828689575,0.05236076351080764,0.024652172818195595,0.07763439621879399,True,True,0.468395061728395,0.3214567901234568,0.6076604938271606,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,15,6,5,3,0.03,0.0,0.05,2.8618715265567303e-32,0.04048989829044939,True,0.6491010189056396,0.006641156453940727,0.041890669983326106,0.01543319799202793,True,True,0.000901147129754549,0.001594382540755972,0.000585378452212356,2.201764069041861e-05,5.757989437847997e-05,5.653823614120483,0.04189066998334024,0.020014320415074068,0.061766538955067216,True,True,0.4266666666666667,0.273820987654321,0.5615,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,16,6,5,3,0.03,0.0,0.05,7.511544030927163e-59,0.054991369020778225,True,2.4384255409240723,2.4459753698326058e-05,0.051588106189449895,0.012225458485329594,True,True,0.0008644242260651421,0.0011179403566822428,0.00036858704742057173,1.269604222954365e-05,1.8475146976088725e-05,2.2435295581817627,0.05158810618945273,0.021075092379082953,0.0740877859575493,True,True,0.5795061728395061,0.43329012345679013,0.7086728395061728,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,17,6,5,3,0.03,0.0,0.05,6.683794278702603e-29,0.039774027258002276,True,0.7326200008392334,0.0004217028123145006,0.043067708760954296,0.012213924137406228,False,True,0.0009623769284095154,0.0006331376358988549,0.00037457970653891027,0.00017445324940229705,7.334716724969252e-06,4.644176006317139,0.04306770876094492,0.021495342788037382,0.06865238772147671,True,True,0.585679012345679,0.4528271604938271,0.7145864197530863,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,18,6,5,3,0.03,0.0,0.05,8.658726720520922e-49,0.049433446929455054,True,1.3958406448364258,0.0005321089833768181,0.049656844958087865,0.014334912893372236,False,True,0.0009090808007626625,0.0017325593744130867,0.00047270319054445065,5.542230511512288e-05,6.930050476630313e-05,3.6307969093322754,0.049656844958072384,0.03163818833061998,0.06911440863553296,True,True,0.4703703703703703,0.3303518518518519,0.6187777777777778,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,19,6,5,3,0.03,0.0,0.05,1.611858874035512e-34,0.045416783286242164,True,0.9586484432220459,0.08433171408931749,0.044875073421550435,0.02599814868199008,False,True,0.0009065813070247302,0.004108398614622597,0.001956214137412199,0.00017822271346180896,9.215261216898e-06,3.2340731620788574,0.044875073421575935,0.01747836954304555,0.07249198157016845,True,True,0.35333333333333333,0.19333333333333336,0.5126234567901233,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,20,6,5,3,0.03,0.0,0.05,9.826468461919881e-33,0.04081994629689618,True,1.0957565307617188,0.004359589908802123,0.04133866369882067,0.014500223472802635,False,True,0.0009017164349629162,0.0013404139515114258,0.0005629105019252873,0.00016547449743223143,6.453759467243051e-06,2.5389719009399414,0.04133866369881016,0.020870356416629546,0.061482810574424236,True,True,0.4096296296296296,0.2431358024691358,0.5632160493827161,True
