lb_p_r,acf1_r,abs_acf1_r,kurtosis,jb_p,hill,lb_p_absr,lb_p_r2,arch_lm_p,acf1_absr,acf5_absr,acf10_absr,acf20_absr,acf50_absr,garch_alpha,garch_beta,garch_persistence,gjr_gamma,leverage_corr,volume_absr_spearman,logvolume_acf1,logvolume_shapiro_p,skew,worst_day,best_day,worst_over_best,mdd,daily_sigma,scenario,seed,n_returns
0.023168949925341995,0.12839286648956258,0.12839286648956258,0.6405740871237828,0.18128345574743826,4.052385972048267,0.6438415135335602,0.6095701722601847,0.569743715648878,0.02655940237937286,0.12712990469533061,-0.004070351042002136,0.05941240136815426,0.03268036451165068,0.019147934411496082,0.7528018468272528,0.7719497812387489,0.017675351092165358,0.11076551966301201,0.3738465052535404,0.5224480562324252,0.11337212730566376,-0.019816591407820775,-0.06750276794784593,0.05735023383643867,1.1770269000186122,-0.387084126299715,0.019367034680773523,flat,40000,199
0.3596417075461486,-0.10072944328623616,0.10072944328623616,1.7671752356719228,1.88799594440829e-07,3.365547524041585,0.31692651224182505,0.9205765104179673,0.734224314464561,0.1923670803514823,0.025216917943529878,0.09783592579873672,-0.07291870431710688,0.03507574290908131,0.2590372604465936,1.2399316769236118e-16,0.2590372604465937,-0.27141345899779357,0.08973226234134195,0.36835084513476474,0.5885568880179898,0.5787172746228936,0.3910189509197695,-0.04965283117935293,0.08964669182307805,0.5538724315376313,-0.16882958593636233,0.019481691544618936,flat,40001,199
0.2845640448517792,0.10398528997364671,0.10398528997364671,4.14707096459238,1.0216617776373977e-31,2.4901384775316533,0.5836023161639121,0.44969567520618425,0.9662925818626501,0.013916612907500748,0.005065086480493911,0.07837937585306826,-0.09729958516485591,-0.013551136973363131,0.0008367689574981048,0.944627012555002,0.9454637815125001,-0.017092538515901746,0.0012628980779042598,0.23269834018577737,0.5703787870151786,0.687984378129334,0.059061282266331366,-0.10138595938970596,0.08436266618921451,1.2017870459701974,-0.27557675309732255,0.02010425946260583,flat,40002,199
0.32615039488169983,-0.1441546150982147,0.1441546150982147,0.710188298112727,0.01813892277681407,3.3596076220737765,0.23393578297553888,0.1200192628255862,0.08354806565065354,-0.03611313875758806,-0.009870596054832422,0.10474832823923372,0.08817817001613806,0.014842664202018515,0.0018655739832335514,0.9374728777832102,0.9393384517664437,0.19678486900607217,-0.06215061160852255,0.22465813918075225,0.5583520848726193,0.06185370942268463,0.34014528048110204,-0.044778013767401426,0.07319410092753831,0.6117708011979186,-0.2019710309326186,0.018547783703571314,flat,40003,199
0.43940532511005026,0.0009217226349198857,0.0009217226349198857,4.933958116669464,8.213004108355234e-50,4.931149332823148,5.390539885219194e-06,0.13993978886359154,0.3636660392580217,-0.008201190491536942,0.2639166938746392,0.27631751703048824,0.11459821640328444,0.01931000064957839,0.0,0.9877025261354124,0.9877025261354124,-0.16816773272799632,0.012028041875359765,0.2567671691792295,0.4472714686143654,0.38062753764439583,-0.8541100203290154,-0.19444811614559931,0.08938029906728318,2.175514270759195,-0.2832957391882144,0.03335985373710473,flat,40004,199
0.3680691406799519,-0.0251518190988126,0.0251518190988126,0.03150548561872801,0.43460465806307624,6.836399921908168,0.5304508194100552,0.26411674490644815,0.3679291929692977,0.08401183743034595,-0.03669969842156247,0.07196405811750839,-0.019196697162972984,-0.11091215330090126,0.17636496870017726,2.4498755649890287e-17,0.1763649687001773,0.3243436265361415,-0.11970738279382688,0.27220191868433075,0.5367347667606527,0.7063194633624338,0.22361174497598196,-0.04622161566585614,0.06478060869024826,0.7135100549435576,-0.3179741266561634,0.02000522552231414,flat,40005,199
0.20023341262709837,-0.08758225645645985,0.08758225645645985,3.067502079615455,9.232547026576924e-18,3.160597584797258,0.3548252660097703,0.0015492427552358332,0.9290026684707721,-0.0018715870693206515,-0.057041407926746945,-0.04485494569681965,-0.08783281746223862,-0.0431521275404953,0.0,0.9597009500997605,0.9597009500997605,0.03382445409475202,0.04045021318348863,0.34605299223389674,0.5413757757045875,0.34457142675102376,0.11340996873529206,-0.09472032253510942,0.09911796019701313,0.9556322824525173,-0.18202310330016813,0.02191164586845007,flat,40006,199
0.7178923469454197,-0.011609768055955991,0.011609768055955991,1.2182258142205598,3.024801052299933e-05,4.601096353124682,0.26268788909113083,0.7878236145542525,0.8561329933101629,0.02423289643401391,-0.003113383906672366,-0.10437384997365622,0.13584316968132587,-0.02662093888063759,0.0,0.9999999999697425,0.9999999999697425,-2.572090732590767e-09,-0.05026391840326014,0.17606060606060608,0.5732737904174796,0.7069508501392852,0.5064422835840344,-0.04683095812646432,0.08952093604843547,0.5231285573368708,-0.19404313035402387,0.02035505172963021,flat,40007,199
0.3523659367798634,-0.09121204244954918,0.09121204244954918,2.5243673655917442,1.9739152414644867e-12,3.841146077436337,0.00040972524276112294,0.007858957217955615,0.02962296222816095,0.0815692546206554,0.03035485010090796,0.1576570928520886,0.03260120087488791,0.06787766423817129,0.07411935972994184,0.9242086941663009,0.9983280538962428,-0.02518897325789196,-0.05816365719592162,0.44808588396528093,0.5024657493380559,0.08285721174669125,0.17910446104687214,-0.12830996666720207,0.16504647282053053,0.7774171993770792,-0.443432190319509,0.041422850691158496,flat,40008,199
0.032706252325732876,0.011399529118283446,0.011399529118283446,2.016824739131679,4.061301791560133e-09,3.9730130106902997,0.2861339414889562,0.9056258486190789,0.93481262858621,-0.012435421972567424,0.056713700358980636,-0.029899699803737856,-0.05506982868608968,0.071376074881802,0.0,0.9846749199021113,0.9846749199021113,-9.827254910755991e-09,-0.04639803728941414,0.1487330592355718,0.5379211865534408,0.1788992885828562,0.38501413799888906,-0.050632216975162514,0.08535642746825989,0.5931857562102197,-0.2310659177167308,0.018289749407457406,flat,40009,199
