persona,scenario,seed,policy,mcr_0.05,band_mas,turnover,cost_paid,return_pct,mdd_pct,coverage_0.05
ISFJ,flat,0,L5_full,0.1443030480539815,0.0005788345304177021,0.3560560556519361,1.7802802782596805,4.6077461319324,-1.3328227243876278,0.245
ISFJ,flat,0,L5_price_only,0.13496333364001756,0.00254236472073585,0.8257706695202937,4.128853347601468,7.2687852423312105,-2.7596403266116343,0.245
ISFJ,flat,0,L5_level_free,0.04089707127194773,0.002989034414112369,0.2389604045388127,1.1948020226940634,4.240082389231592,-3.8010853599022676,0.245
ISFJ,flat,0,always_hold,0.07923219516405698,0.0,0.0,0.0,3.65862533479262,-3.055177583911328,0.245
ISFJ,flat,0,constant_mix,0.0998342963628275,0.0,0.08029089402335471,0.4014544701167736,3.6922771301655333,-2.57018783469537,0.245
ISFJ,flat,0,v_oracle,0.7000000000000001,0.7,0.8,4.0,18.24580942329348,-12.309343548548203,0.245
ISFJ,flat,0,mandate_conditional_oracle,0.003943361351415083,0.0021162931768109934,0.228827618563286,1.14413809281643,5.556488710197671,-3.826915234576367,0.245
ISFJ,flat,1,L5_full,0.005835656050039773,0.0011154484615435213,2.1242022885349217,10.621011442674607,9.615386032939632,-27.210263083259324,0.885
ISFJ,flat,1,L5_price_only,0.003164924919516401,0.001107333743185328,1.7046215194823031,8.523107597411515,9.40078615699158,-27.210263093476396,0.885
ISFJ,flat,1,L5_level_free,0.050953456007124205,0.0012330946951603467,2.4648549797792616,12.324274898896306,3.5746273060556,-27.21026308340342,0.885
ISFJ,flat,1,always_hold,0.16365168117124154,0.0016363584939535038,0.0,0.0,-1.6508772713502928,-14.644212900358422,0.885
ISFJ,flat,1,constant_mix,0.10028277505214869,0.0,1.2777980114332217,6.388990057166108,7.341574525351691,-18.570341856825245,0.885
ISFJ,flat,1,v_oracle,0.7000000000000001,0.63,0.8,4.0,-4.31919643527997,-71.41849896031583,0.885
ISFJ,flat,1,mandate_conditional_oracle,0.0025528654214004493,0.0011148686764831579,1.6984059083734482,8.492029541867241,8.65340298802646,-27.210263083259324,0.885
ISFJ,flat,2,L5_full,0.013238546394216089,0.001843830831964014,0.3067736335936572,1.5338681679682862,8.534862678747523,-4.998688204490653,1.0
ISFJ,flat,2,L5_price_only,0.022419486306609032,0.002034934198024087,0.7094558728739081,3.5472793643695404,10.797368417490283,-4.998688204490653,1.0
ISFJ,flat,2,L5_level_free,0.05783008923312323,0.0016539336358621145,1.5455442238968788,7.7277211194843956,8.73798504933967,-4.998688204490653,1.0
ISFJ,flat,2,always_hold,0.08479686435596667,0.0,0.0,0.0,5.366547292858637,-4.1815481784431725,1.0
ISFJ,flat,2,constant_mix,0.0986785380648918,0.0,0.16574987971634425,0.8287493985817213,5.5184617735038355,-4.127399063406989,1.0
ISFJ,flat,2,v_oracle,0.7,0.7,0.8,4.0,26.782003369707464,-19.520176316430305,1.0
ISFJ,flat,2,mandate_conditional_oracle,0.003748184620435354,0.0021833757513365156,0.31882316608172123,1.594115830408606,8.088471664164953,-6.1963907938519025,1.0
ISFJ,flat,3,L5_full,0.01287975523790756,0.001702597539765513,0.21722238594754473,1.0861119297377233,-8.255579449848538,-11.03534626600544,1.0
