feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119440,0.7368963540681606,0.6897472834194497,0.7717604906775901,0.946724122506188,67066.0,0.9383270951049101,0.9542655448223216,-0.007095086728265754,,,,0.5250873272615273,0.21180902680663327
full,ridge,x,event,97998,0.9377176832801838,0.933714815930082,0.9423357857470424,0.9710791835216441,86028.0,0.9671690563705326,0.9753904970331648,-0.001641863136268018,,,,0.909031803230815,0.028685880049368784
full,ridge,x,resolution,70562,0.914705206946254,0.9039424417704021,0.9243018214397639,0.9850200368933274,62884.0,0.9809709182801046,0.9890737995813946,0.0019008730387372053,,,,0.8814050080976792,0.033300198848574825
full,ridge,x,all,288000,0.8993244905675724,0.8928950112321902,0.9058512473220581,0.9675754011982702,215978.0,0.9642109948452176,0.9709640736992992,-0.0013552843395256975,,,,0.8393449751351134,0.05997951543245894
full,ridge,logV,calm,119440,0.44792164307046123,0.3899340313993285,0.5032018043653098,,,,,-0.0156129119084647,0.06654153751363483,0.06430035676063445,0.06852321715057658,0.050639259957414584,0.39728238311304664
full,ridge,logV,event,97998,0.6129743939790425,0.5844186511141326,0.6420292692435448,,,,,-0.00475943846133231,0.06410129560769463,0.061855431297005714,0.0663350225737378,0.4285567013680258,0.1844176926110167
full,ridge,logV,resolution,70562,0.5607036352330181,0.5203449839721647,0.5972930349834097,,,,,-0.018270424702667265,0.08007647547013402,0.07647523048854434,0.08347770177106563,0.10698195372529784,0.4537216815077203
full,ridge,logV,all,288000,0.7077990840193933,0.6897804127187405,0.7261794964532161,,,,,-0.0074235164767189055,0.06902734815873264,0.06734889879854329,0.07086039602924936,0.491187685686863,0.2166113983325303
full,gbt,x,calm,119440,0.9283010538148878,0.9103134415685724,0.9412904335681229,0.9745623713953419,67066.0,0.9682834976759294,0.9794426990382552,-0.005751109784111419,,,,0.8116930785581891,0.11660797525669875
full,gbt,x,event,97998,0.970735997537847,0.968523218026218,0.9727843170199314,0.9836216115683266,86028.0,0.9809347733004612,0.9866647856122394,-0.030594876385366288,,,,0.9381792294978616,0.03255676803998542
full,gbt,x,resolution,70562,0.9555196740884551,0.950484821174256,0.9597703429532699,0.9903791107435914,62884.0,0.9875245029652076,0.9933959633959171,-0.03465402276175422,,,,0.9021154906085023,0.053404183479952794
full,gbt,x,all,288000,0.960231330608874,0.9573381846641217,0.9629168476725887,0.9827760234838734,215978.0,0.9802256374945578,0.9848517877117186,-0.022103809042549383,,,,0.908741899992309,0.05148943061656497
full,gbt,logV,calm,119440,0.8592549589813359,0.8415847111305542,0.8731719476066288,,,,,-0.03279491526566458,0.03323496825730923,0.03220206164585665,0.03432794465226405,0.6301833394616425,0.22907161951969335
full,gbt,logV,event,97998,0.7999127079579436,0.7864522192681952,0.8130735138603599,,,,,-0.02811566240823704,0.045373870281052366,0.04397993373505901,0.04674748709222287,0.5828184732596667,0.21709423469827682
full,gbt,logV,resolution,70562,0.8282178100147591,0.8121912098887972,0.8418076242686124,,,,,-0.06541005380570142,0.047461721749530436,0.045888880290136706,0.04914017295470922,0.6328735145704183,0.19534429544434084
full,gbt,logV,all,288000,0.8925425070397526,0.8858639163425669,0.8999591901460534,,,,,-0.03735434569541285,0.040851135967173456,0.039942513911427814,0.041832542065990505,0.7568055213628871,0.13573698567686543
full,mlp,x,calm,119440,0.8956697231578821,0.8735696153554073,0.9127889586258636,0.9735931768705455,67066.0,0.9683298301832434,0.9781571602523885,-0.129465636363995,,,,0.8127823725994757,0.08288735055840635
full,mlp,x,event,97998,0.9589717626334167,0.9558665461750534,0.9621729593405608,0.9812270423583019,86028.0,0.9785722937269031,0.9839341113109746,-0.15706928946910215,,,,0.9361873632922142,0.022784399341202466
full,mlp,x,resolution,70562,0.9220151650745169,0.9121638629867184,0.9302001653964134,0.9883754214108518,62884.0,0.9855667402416247,0.991058850480421,-0.150894181210266,,,,0.9018061546810764,0.020209010393440474
full,mlp,x,all,288000,0.9393905470599004,0.9346847176224303,0.9436177802010869,0.9809378733019104,215978.0,0.9788251240112307,0.982843831662852,-0.14428366073784238,,,,0.9077710096940168,0.03161953736588363
full,mlp,logV,calm,119440,0.7758427450939978,0.744821440663068,0.8045421888115021,,,,,-0.13062050611769482,0.03988920158479778,0.03830216846855057,0.04149725169505523,0.5938807012764408,0.18196204381755698
full,mlp,logV,event,97998,0.7085737564024737,0.6886376005348872,0.7287818820287782,,,,,-0.13047218002566807,0.05399997774076266,0.05208095339775652,0.055588926410336394,0.5642921234331706,0.14428163296930308
full,mlp,logV,resolution,70562,0.7103609628791234,0.6840175595016743,0.7315645595852219,,,,,-0.18807315253784695,0.06219936466422124,0.060067634163407976,0.06479861511842094,0.6210365447335322,0.08932441814559122
full,mlp,logV,all,288000,0.8315718269709615,0.8193305807577892,0.8435320494524385,,,,,-0.14510076187605492,0.050156832032514864,0.04890211979025415,0.05130926939191411,0.7423217368797426,0.08925009009121898
price_only,ridge,x,calm,119440,0.5250873272615273,0.4686538541368116,0.5705287811132617,0.958071153788805,67066.0,0.9506896600884925,0.9648831444630644,,,,,0.5250873272615273,
price_only,ridge,x,event,97998,0.909031803230815,0.9028154567550365,0.9163444096354335,0.9574557120937369,86028.0,0.9525886161511052,0.9628773336753746,,,,,0.909031803230815,
price_only,ridge,x,resolution,70562,0.8814050080976792,0.8677308306615179,0.8928876679559722,0.9852108644488264,62884.0,0.9813263565741973,0.9893400510821887,,,,,0.8814050080976792,
price_only,ridge,x,all,288000,0.8393449751351134,0.8262205854530394,0.8515190164146349,0.9657279908138792,215978.0,0.9623545665770321,0.9692846380905882,,,,,0.8393449751351134,
price_only,ridge,logV,calm,119440,0.050639259957414584,0.003638505922246795,0.09177991476989301,,,,,,0.08768253473399668,0.08466829206469262,0.09038578294176511,0.050639259957414584,
price_only,ridge,logV,event,97998,0.4285567013680258,0.3849179758204571,0.4725822261932955,,,,,,0.07889311709102895,0.07643699027753012,0.08168722984552892,0.4285567013680258,
price_only,ridge,logV,resolution,70562,0.10698195372529784,0.028860712193568432,0.17301471118220416,,,,,,0.1194570144899423,0.11484480118128325,0.124732602858965,0.10698195372529784,
price_only,ridge,logV,all,288000,0.491187685686863,0.469295039167692,0.5107242721453246,,,,,,0.09247672046442543,0.0901462745787824,0.09481492673725388,0.491187685686863,
price_only,gbt,x,calm,119440,0.8116930785581891,0.7726590890354533,0.8408668923193613,0.9623356096979095,67066.0,0.9545173781340774,0.9690503787466089,,,,,0.8116930785581891,
price_only,gbt,x,event,97998,0.9381792294978616,0.9336932841690629,0.9429116822971536,0.9759031943088297,86028.0,0.9718973233335803,0.9797298282462148,,,,,0.9381792294978616,
price_only,gbt,x,resolution,70562,0.9021154906085023,0.8900311865663516,0.913667071895226,0.9859582723745309,62884.0,0.9821928364978169,0.9902723690956617,,,,,0.9021154906085023,
price_only,gbt,x,all,288000,0.908741899992309,0.90170019329272,0.914617804265344,0.9746177851447833,215978.0,0.9714286596001013,0.9779768761670703,,,,,0.908741899992309,
price_only,gbt,logV,calm,119440,0.6301833394616425,0.5853056066246813,0.66943391230389,,,,,,0.05126125140913152,0.04934499962703493,0.05321627336546246,0.6301833394616425,
price_only,gbt,logV,event,97998,0.5828184732596667,0.546525304897516,0.6156622288386936,,,,,,0.06404568203908582,0.061714052093040414,0.06632907220308322,0.5828184732596667,
price_only,gbt,logV,resolution,70562,0.6328735145704183,0.5984071831763377,0.6620962619518781,,,,,,0.07055792885712081,0.06729435409336977,0.07369803382005465,0.6328735145704183,
price_only,gbt,logV,all,288000,0.7568055213628871,0.7391575768128459,0.7728124612320847,,,,,,0.06033924025274012,0.0587848694851964,0.06191353236618649,0.7568055213628871,
price_only,mlp,x,calm,119440,0.8127823725994757,0.7749937830216438,0.8416702577791704,0.9612769510631318,67066.0,0.953868191451036,0.9681615847848654,,,,,0.8127823725994757,
price_only,mlp,x,event,97998,0.9361873632922142,0.9313324207546005,0.9412401118415197,0.9735318733435626,86028.0,0.969695605329226,0.9776516926884001,,,,,0.9361873632922142,
price_only,mlp,x,resolution,70562,0.9018061546810764,0.8904637092868225,0.912708654550414,0.9847019909674957,62884.0,0.9807118695182298,0.9886367416852879,,,,,0.9018061546810764,
price_only,mlp,x,all,288000,0.9077710096940168,0.9009508029430149,0.9136821419804727,0.9729787293150228,215978.0,0.9698687907962248,0.9761562568162124,,,,,0.9077710096940168,
price_only,mlp,logV,calm,119440,0.5938807012764408,0.5443788378654393,0.6412204339028781,,,,,,0.054158066170617525,0.052204444457871334,0.05629263352894007,0.5938807012764408,
price_only,mlp,logV,event,97998,0.5642921234331706,0.5276911196567391,0.5996570047150624,,,,,,0.0655434242286395,0.0631839131277968,0.06785905528334016,0.5642921234331706,
price_only,mlp,logV,resolution,70562,0.6210365447335322,0.5862512430902546,0.6486855825292022,,,,,,0.0720659072913367,0.06887492449258234,0.07534320987757294,0.6210365447335322,
price_only,mlp,logV,all,288000,0.7423217368797426,0.724625126242811,0.7602466100034884,,,,,,0.06241971687940303,0.06090344424040468,0.0640383073614685,0.7423217368797426,
